owner_name,operating_name,permit_number,street,city,state,zip,county,latitude,longitude
"PIGEON HILL BREWING COMPANY, LLC",SOCIBOWL,MI-S-20121,895 FOURTH ST,MUSKEGON,MI,49440,MUSKEGON,43.0365071,-86.2190423
"NORTH WINDS DISTILLERY, LLC",,MI-S-20122,711 MAIN ST,NORWAY,MI,49870,,45.8090945,-88.037775
"FIVE SHORES BREWING, LLC",FIVE SHORES BREWING,MI-S-20124,163 BENZIE BLVD,BEULAH,MI,49617,BENZIE,44.282221,-85.39700280254453
GULL LAKE DISTILLING COMPANY LLC,,MI-S-20125,92 E MICHIGAN AVE,GALESBURG,MI,49053,KALAMAZOO,42.33568395,-85.28456432388842
NORTH GROVE BREWERS LLC,,MI-S-20126,8735 WATER ST,MONTAGUE,MI,49437,,43.0365071,-86.2190423
"TENACITY BREWING, LLC",TENACITY CRAFT,MI-S-20128,8517 2ND AVE,DETROIT,MI,48202,WAYNE,42.36412165,-83.08849193200862
TULIP CITY BREWSTILLERY LLC,TULIP CITY BREWSTILLERY,MI-S-20130,430 W 17TH ST STE 26,HOLLAND,MI,49423,OTTAWA,42.828009,-86.0961055
"SALT SPRINGS BREWERY, LLC",SALT SPRINGS SPIRITS,MI-S-20131,117 S ANN ARBOR ST,SALINE,MI,48176,WASHTENAW,42.3893748,-83.50637874238865
"WATERMARK BREWING COMPANY, LLC",,MI-S-20133,5776 MILL ST,STEVENSVILLE,MI,49127,,41.7903488,-86.2498923
KALAMAZOO DISTILLING COMPANY,KALAMAZOO DISTILLING COMPANY,MI-S-20134,1104 PORTAGE ST,KALAMAZOO,MI,49001,,42.2536276,-85.57905592494048
WONDERLAND DISTILLING CO.,WONDERLAND DISTILLING,MI-S-20135,2217 LEMUEL ST,MUSKEGON HEIGHTS,MI,49444,MUSKEGON,43.0365071,-86.2190423
"HOOCH DEN, LLC",MOTOR CITY GAS FARMS,MI-S-20137,7621 WARREN RD,ANN ARBOR,MI,48105,,42.29194785,-83.67634744885245
LAZY BALLERINA WINERY LLC,LAZY BALLERINA WINERY,MI-S-20139,641 CRYSTAL AVE,BENTON HARBOR,MI,49022,BERRIEN,41.7903488,-86.2498923
